Model,Params,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1-Score Mean,F1-Score Std,Log Loss Mean,AUC Mean
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.499,0.012409673645990868,0.5190040322146122,0.023541264701434368,0.499,0.012409673645990868,0.4734248587946285,0.009814836414514362,1.0976111537429076,0.7899598151260505
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.458,0.024207436873820404,0.4931247032710694,0.029754840313972058,0.458,0.024207436873820404,0.4310353228996388,0.028313234472038363,1.1326732694351616,0.7735847114845937
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.491,0.017720045146669368,0.5001487281867035,0.04120820598707309,0.491,0.017720045146669368,0.4651663770237329,0.028386757891045524,1.088161560648717,0.783110474089636
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.483,0.03414674215792775,0.4815450260205451,0.04343709489913528,0.483,0.03414674215792775,0.46516399922024243,0.036076448034584846,1.0979021270315665,0.7847943813025211
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.4880000000000001,0.03472751070837068,0.4957117645437443,0.03749134479347402,0.4880000000000001,0.03472751070837068,0.47060461222022293,0.04063211628390502,1.0999610409092113,0.7932107678571428
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.5,0.03065941943351181,0.5067959534871063,0.04472425585679068,0.5,0.03065941943351181,0.48210324420748146,0.03594006922843031,1.2783094531977781,0.7857463900560224
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.49400000000000005,0.031048349392520058,0.4928379909055902,0.03883562905876841,0.49400000000000005,0.031048349392520058,0.47316304379470414,0.03467215620379091,1.0940871304850424,0.7886048795518207
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.472,0.012884098726725112,0.5022397563839334,0.0386991345680323,0.472,0.012884098726725112,0.4566550183799639,0.01528727375271757,1.11078520032316,0.7842499292717087
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.47800000000000004,0.015033296378372907,0.4783780884775166,0.030462181065281427,0.47800000000000004,0.015033296378372907,0.4575584297043376,0.021142120269405842,1.1607136894306667,0.7766644653361344
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.497,0.011224972160321834,0.5004732434666304,0.017713563244460006,0.497,0.011224972160321834,0.4786832384150738,0.012613966604954983,1.0898533989326502,0.7913903245798318
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.4720000000000001,0.021587033144922902,0.4874070748244752,0.02721542573987201,0.4720000000000001,0.021587033144922902,0.45281385561686927,0.017310421720046473,1.107424166434517,0.7870998757002801
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.48900000000000005,0.025573423705088853,0.4827888232894558,0.04265493233046288,0.48900000000000005,0.025573423705088853,0.46668518568560896,0.03444181788851887,1.19322302243344,0.7790410343137255
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.476,0.02782085548648711,0.47874064516593184,0.02428703579797007,0.476,0.02782085548648711,0.4598387962655157,0.026737326949200627,1.0938947533121168,0.7869665234593837
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.472,0.017492855684535895,0.4827530475668772,0.025786206211932856,0.472,0.017492855684535895,0.4567012761674037,0.017616411104308536,1.1232552165748169,0.7775305948879552
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.48600000000000004,0.025377155080899053,0.4841387704073454,0.04266285765408459,0.48600000000000004,0.025377155080899053,0.4670159448569436,0.03373456994288522,1.1563452033647408,0.7807458389355741
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5130000000000001,0.021817424229271448,0.5008562671240527,0.02741057027532452,0.5130000000000001,0.021817424229271448,0.482588775495287,0.022371352483378595,1.0755660984593753,0.8053390112044816
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.506,0.03555277766926234,0.5106956819509314,0.04361753986359669,0.506,0.03555277766926234,0.4794816627286716,0.03966588067399864,1.0977191219323177,0.8000603953081233
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.502,0.02712931993250108,0.5024110249074447,0.034532706505312066,0.502,0.02712931993250108,0.47978680342828167,0.033290452465604047,1.1650862728857632,0.7967419054621849
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.502,0.0332565782966318,0.5169766271880853,0.038095608753365914,0.502,0.0332565782966318,0.47761016846869425,0.039391180630531084,1.0846656115467268,0.7988665994397758
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.507,0.012884098726725137,0.535972839666812,0.014968624363431392,0.507,0.012884098726725137,0.4867793982298926,0.01420208154749956,1.1008145986455395,0.8002109691876751
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.5,0.015811388300841913,0.5001664327311927,0.02443189198736415,0.5,0.015811388300841913,0.4772835038000186,0.018690248977499883,1.0797557544839045,0.7903949527310925
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5000000000000001,0.024698178070456944,0.49176755251863646,0.04473891840801063,0.5000000000000001,0.024698178070456944,0.46862097770570144,0.014823884696780922,1.0895528392522769,0.7952384831932774
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.499,0.031208973068654486,0.5203880549421818,0.06184654358060474,0.499,0.031208973068654486,0.47594540418177234,0.04070956525445706,1.1005052436113423,0.7982343109243697
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.496,0.019849433241279225,0.4930743375421514,0.024189877301535535,0.496,0.019849433241279225,0.4734992222597634,0.02706832190800989,1.1111188824374223,0.7897392713585434
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.514,0.018275666882497082,0.5277083837309395,0.030887450961451183,0.514,0.018275666882497082,0.4871227890879937,0.0246693193079752,1.0795514584393384,0.8032526596638656
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.491,0.02477902338672774,0.5045650743195641,0.03471342724042732,0.491,0.02477902338672774,0.4694978979250197,0.028782070366827617,1.1067056701132547,0.7963045448179271
RandomForest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.506,0.01933907960581373,0.5065312034626233,0.023093883353241175,0.506,0.01933907960581373,0.4836602658120441,0.027647667147959385,1.0748947811440868,0.7935663130252102
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5120000000000001,0.026570660511172867,0.5415616727720163,0.04138796186584985,0.5120000000000001,0.026570660511172867,0.47767187165436625,0.0300690376123792,1.0833842484621947,0.8037654138655462
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.485,0.01483239697419134,0.5201024118143046,0.03578700106381784,0.485,0.01483239697419134,0.44541556786798947,0.015602163481454644,1.114969010867365,0.7932327261904761
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.51,0.017029386365926415,0.5074658613629677,0.017673811206555035,0.51,0.017029386365926415,0.4828196965268926,0.023984468696301452,1.0822552352368933,0.7891700175070028
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.495,0.017606816861659026,0.49663244344407087,0.02694564715175779,0.495,0.017606816861659026,0.46040702226718466,0.020485173379299542,1.0927872625153987,0.7984852142857142
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.497,0.024617067250182364,0.5547766947669629,0.037305625467389046,0.497,0.024617067250182364,0.46228505785421375,0.034459519137931265,1.1189715314365638,0.7908198389355743
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.505,0.020493901531919215,0.510997078345313,0.028591648003334576,0.505,0.020493901531919215,0.47865077974435993,0.030626238317964533,1.0750031860568743,0.7908636729691876
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.491,0.018275666882497064,0.48158263382817895,0.030711999346117465,0.491,0.018275666882497064,0.4516236882704644,0.019079226552592067,1.0937461287490335,0.7973549019607843
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.47800000000000004,0.02249444375840398,0.5115675375998048,0.04205090128220825,0.47800000000000004,0.02249444375840398,0.44089960886111274,0.035351451778246785,1.1164592968367915,0.7927196092436974
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.509,0.012409673645990868,0.5106326461004013,0.018058351285144738,0.509,0.012409673645990868,0.48292586081415945,0.018668831142803335,1.0725543331352838,0.791655361344538
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.502,0.015033296378372923,0.5303612406388988,0.026811810531370443,0.502,0.015033296378372923,0.47083539874676933,0.015527674659990725,1.091755402225693,0.7997582836134454
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.472,0.022494443758403978,0.5432438647902165,0.04305164896852386,0.472,0.022494443758403978,0.44026985287455156,0.027929366006243662,1.1213463715878509,0.7921191694677872
RandomForest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.5050000000000001,0.020736441353327736,0.5051853031857012,0.03166336324936256,0.5050000000000001,0.020736441353327736,0.4786526149793538,0.030774742659145166,1.0729733577857228,0.7929959383753502
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.51,0.017029386365926418,0.5080316833774118,0.027287393529377237,0.51,0.017029386365926418,0.48096171806358246,0.018203583535172266,1.0773812334609223,0.8042730969887956
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.512,0.03140063693621515,0.5132956662862007,0.04182456005193799,0.512,0.03140063693621515,0.4857231327848698,0.04162536496793126,1.096738385439923,0.8003377237394957
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.502,0.027676705006196102,0.5068868207524627,0.035202311602961646,0.502,0.027676705006196102,0.481276283444231,0.0329506925359922,1.1649759342308748,0.7964153550420168
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.495,0.034205262752974155,0.5042465920849402,0.0391455757179207,0.495,0.034205262752974155,0.4708577256865394,0.037872158010421764,1.0846481962983645,0.799927150210084
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.495,0.014142135623730963,0.5230838129630325,0.027592249939776416,0.495,0.014142135623730963,0.4720613459968656,0.011728892453842411,1.1023736655821883,0.7981625094537815
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.497,0.020880613017821098,0.4992047652231729,0.0292840423028609,0.497,0.020880613017821098,0.47474263694267094,0.0232529064993637,1.079672382035628,0.7904731081932773
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.49799999999999994,0.028213471959331774,0.5112730497275677,0.0427440424659539,0.49799999999999994,0.028213471959331774,0.4701683164422413,0.02040924091313621,1.0882257283187196,0.796853918417367
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.49399999999999994,0.027820855486487123,0.5116758923609155,0.04762509354926976,0.49399999999999994,0.027820855486487123,0.46819279164022587,0.034119435095252636,1.0988184475756435,0.8005485028011202
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.496,0.019849433241279225,0.4927636529926394,0.026005094530335393,0.496,0.019849433241279225,0.4741562046159452,0.027037667006262027,1.1115097897139377,0.7894960430672269
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.513,0.032341923257592484,0.530715817386372,0.04809966845327927,0.513,0.032341923257592484,0.486244546009177,0.03858726246071633,1.0798138284582421,0.8031920105042017
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.48900000000000005,0.028000000000000008,0.5110804142208372,0.033786887032671804,0.48900000000000005,0.028000000000000008,0.46661573945019424,0.030481140021785424,1.1074467606167833,0.7960449005602241
RandomForest,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.505,0.020000000000000018,0.5042145350018231,0.023636333918247678,0.505,0.020000000000000018,0.48302322085757404,0.02800333039085575,1.0754418805941186,0.7930103109243698
